index,pt_breadcereal,pt_meat,pt_fish,pt_milk,pt_fat,pt_fruit,pt_vegetable,pt_sugar,pt_other,pt_nonalc,total_expenditure,wt_breadcereal,wt_meat,wt_fish,wt_milk,wt_fat,wt_fruit,wt_vegetable,wt_sugar,wt_other,wt_nonalc,d_econ_active,d_n_child,d_n_adult
1568,0.724968868271428,4.64117264510833,4.86076734325494,1.53981549914853,1.59130167669474,0.719148101230032,0.763122334144638,0.875895625811112,1.03499325823938,1.29028228386655,59.9,0.271118530884808,0.139232053422371,0.025041736227045,0.173455759599332,0.020784641068447,0.067195325542571,0.12804674457429,0.055843071786311,0.034223706176962,0.085058430717863,3,0,4
1569,0.724968868271428,4.64117264510833,4.86076734325494,1.53981549914853,1.59130167669474,0.719148101230032,0.763122334144638,0.875895625811112,1.03499325823938,1.29028228386655,66.08,0.127572639225182,0.298653147699758,0.033595641646489,0.145202784503632,0.051679782082325,0.111985472154964,0.050923123486683,0.016646489104116,0.018386803874092,0.14535411622276,2,1,2
1570,0.724968868271428,4.64117264510833,4.86076734325494,1.53981549914853,1.59130167669474,0.719148101230032,0.763122334144638,0.875895625811112,1.03499325823938,1.29028228386655,128.62,0.205333540662416,0.118527445187374,0.110713730368527,0.145583890530244,0.018076504431659,0.106398693826777,0.102783392940445,0.046415798476131,0.034287047115534,0.111879956460893,1,3,2
1571,0.847915898330224,5.31277767176687,5.62073849461217,1.6751361369928,1.70376267022619,0.787678163548183,0.863873653706862,0.935105673663254,1.2232216391113,1.33284362727466,101.115,0.261484448400336,0.187855412154478,0.083123176581121,0.096869900608218,0.030559264204124,0.063541512139643,0.098303911388024,0.089353706176136,0.022647480591406,0.066261187756515,1,2,2
1572,0.847915898330224,5.31277767176687,5.62073849461217,1.6751361369928,1.70376267022619,0.787678163548183,0.863873653706862,0.935105673663254,1.2232216391113,1.33284362727466,49.785,0.208998694385859,0.1966455759767,0.089384352716682,0.144421010344481,0.028623079240735,0.152053831475344,0.094606809279904,0.035050718087777,0.040172742794014,0.010043185698504,1,0,2
1573,0.859916672210879,5.12567833332887,5.57629354960616,1.64432147529561,1.7100314597832,0.763067021925487,0.834884121758856,0.917941518309398,1.13574849752325,1.30549858620356,50.29,0.234539669914496,0.171803539471068,0.158878504672897,0.065420560747664,0.050507059057467,0.050705905746669,0.161662358321734,0.068303837741102,0.005865977331477,0.032312586995427,0,0,2
1574,0.859916672210879,5.12567833332887,5.57629354960616,1.64432147529561,1.7100314597832,0.763067021925487,0.834884121758856,0.917941518309398,1.13574849752325,1.30549858620356,129.745,0.211684457975259,0.285328914409033,0.043354271840919,0.10108289336776,0.016301206212185,0.097383328837335,0.145940113299164,0.029904813287603,0.022004701529924,0.047015299240819,3,0,4
1575,0.859916672210879,5.12567833332887,5.57629354960616,1.64432147529561,1.7100314597832,0.763067021925487,0.834884121758856,0.917941518309398,1.13574849752325,1.30549858620356,34.335,0.138197174894423,0.302315421581477,0.023591087811271,0.181301878549585,0.023154215814766,0.107324887141401,0.068297655453619,0.058103975535168,0.038881607688947,0.058832095529343,0,0,2
1576,0.859916672210879,5.12567833332887,5.57629354960616,1.64432147529561,1.7100314597832,0.763067021925487,0.834884121758856,0.917941518309398,1.13574849752325,1.30549858620356,50.22,0.209876543209877,0.235364396654719,0.035244922341697,0.073277578653923,0.010254878534448,0.116387893269614,0.081939466348069,0.092990840302668,0.015133412982875,0.129530067702111,2,0,2
1577,0.81122060280225,5.03973556632077,5.40569965705517,1.64582457449374,1.74933392382854,0.721053715770183,0.810773580758877,0.926640475079861,1.09732029392341,1.30808722745414,119.055,0.152786527235311,0.313216580572005,0.018772836084163,0.086892612658015,0.001931880223426,0.055058586367645,0.184116584771744,0.044055268573349,0.014153122506405,0.129016001007938,3,0,3
1578,0.81122060280225,5.03973556632077,5.40569965705517,1.64582457449374,1.74933392382854,0.721053715770183,0.810773580758877,0.926640475079861,1.09732029392341,1.30808722745414,88.31,0.235533914618956,0.226701392820745,0.019986411504926,0.108877816781791,0.048352394972257,0.032385913260106,0.08288981995244,0.100215151172008,0.013701732533122,0.131355452383649,3,0,3
1579,0.81122060280225,5.03973556632077,5.40569965705517,1.64582457449374,1.74933392382854,0.721053715770183,0.810773580758877,0.926640475079861,1.09732029392341,1.30808722745414,38.335,0.251597756619277,0.155732359462632,0.020477370549107,0.071083865918873,0.024520673014217,0.03652015129777,0.153254206338855,0.049432633363767,0.046824051128212,0.190556932307291,1,1,1
1580,0.730013179245561,4.62385282980755,5.32322691925442,1.59470508272863,1.601387152411,0.649618713300971,0.780628878034023,0.872200757854284,1.02126587210726,1.24459860358762,94.09,0.110054203422255,0.221011797215432,0.013975980444256,0.235094058879796,0.007864810288022,0.034753958975449,0.051546391752577,0.040440004251249,0.003507280263577,0.281751514507387,1,3,2
1581,0.730013179245561,4.62385282980755,5.32322691925442,1.59470508272863,1.601387152411,0.649618713300971,0.780628878034023,0.872200757854284,1.02126587210726,1.24459860358762,29.03,0.215983465380641,0.225800895625215,0.051153978642783,0.160179125043059,0.029107819497072,0.038408542886669,0.124354116431278,0.060110230795729,0.017912504305891,0.076989321391664,2,0,2
1582,0.853605737997869,5.29347791959113,5.51134391583521,1.67062905586987,1.67976228787723,0.766803485833738,0.825983950953924,0.92872694896038,1.13271144294106,1.34029003688276,50.19,0.182904961147639,0.210001992428771,0.025801952580195,0.128710898585376,0.051803148037458,0.0694361426579,0.10400478182905,0.074118350268978,0.039450089659295,0.11376768280534,0,0,2
1583,0.853605737997869,5.29347791959113,5.51134391583521,1.67062905586987,1.67976228787723,0.766803485833738,0.825983950953924,0.92872694896038,1.13271144294106,1.34029003688276,44.49,0.195212407282535,0.25039334681951,0.011238480557429,0.071364351539672,0.016745336030569,0.012249943807597,0.112272420768712,0.085637221847606,0.090132614070578,0.154753877275792,2,0,2
1584,0.853605737997869,5.29347791959113,5.51134391583521,1.67062905586987,1.67976228787723,0.766803485833738,0.825983950953924,0.92872694896038,1.13271144294106,1.34029003688276,85.125,0.109897209985316,0.265668135095448,0.020205580029369,0.163054331864905,0.03712187958884,0.08129221732746,0.071013215859031,0.127635829662261,0.055389133627019,0.068722466960352,3,1,3
