bootstrap_sample,n_node,cv_loss
0,5,0.0029484912267197733
0,6,0.0029498740933961484
0,7,0.0029492896468635054
0,8,0.002949270329793582
0,9,0.0029478455131090636
0,10,0.0029486628161554318
0,11,0.002948009146935338
0,12,0.002947088939493189
0,13,0.0029486175457798486
0,14,0.002948976445781148
0,15,0.0029489761409642185
1,5,0.0029952003844980015
1,6,0.0029975598245993796
1,7,0.0029957595819899117
1,8,0.0029981712356254636
1,9,0.002993654593241861
1,10,0.0029941067604505153
1,11,0.002994880998641791
1,12,0.0029948425479233267
1,13,0.0029955350075769856
1,14,0.0029940787915993168
1,15,0.002996666979673038
2,5,0.0029637797871004653
2,6,0.002965374852545263
2,7,0.002964858932980079
2,8,0.002965448275365753
2,9,0.0029625954101956367
2,10,0.0029634104696730436
2,11,0.002963396143707457
2,12,0.0029623077053855316
2,13,0.0029629678316571637
2,14,0.0029641203102020973
2,15,0.002964703998931732
3,5,0.00295246268792825
3,6,0.0029560620433097045
3,7,0.0029541706146646606
3,8,0.0029555290505643966
3,9,0.0029503077718581036
3,10,0.0029534770517990272
3,11,0.0029528309145614154
3,12,0.002951352349250066
3,13,0.002953489144011812
3,14,0.0029511327993335295
3,15,0.0029526206616298824
4,5,0.0029877545517894887
4,6,0.0029894325349773664
4,7,0.002989367042248679
4,8,0.00298949529604904
4,9,0.002986698517388928
4,10,0.0029880106938711347
4,11,0.002987396096913066
4,12,0.0029867316152246194
4,13,0.0029864105954543734
4,14,0.0029877228323000804
4,15,0.0029890199604676758
5,5,0.0029524577190526403
5,6,0.0029525840789294587
5,7,0.0029536609296113825
5,8,0.002953945748651257
5,9,0.002951658178622333
5,10,0.002951283083977894
5,11,0.002952178407352991
5,12,0.0029508328566757534
5,13,0.002951741258864506
5,14,0.0029533049002146493
5,15,0.002953973007746614
6,5,0.0029741891473362495
6,6,0.0029762033758113
6,7,0.002976229821339132
6,8,0.0029764111385906936
6,9,0.002973571916543475
6,10,0.0029742781533721465
6,11,0.0029756175892834843
6,12,0.0029718660748648887
6,13,0.0029741501510944296
6,14,0.0029748938299392854
6,15,0.0029763784957626584
7,5,0.003032728714121574
7,6,0.003034473117048449
7,7,0.003033444692881431
7,8,0.003034041528794679
7,9,0.0030319203257062827
7,10,0.0030317719284812866
7,11,0.0030324607898303446
7,12,0.003033353439108892
7,13,0.003032511088398298
7,14,0.00303165703251608
7,15,0.0030334867850452894
8,5,0.0029458079815787427
8,6,0.0029474921255406915
8,7,0.0029467589899913387
8,8,0.002946866415706483
8,9,0.0029445020329453425
8,10,0.0029456251889089964
8,11,0.0029452508532884377
8,12,0.0029444240046051723
8,13,0.0029447122401879224
8,14,0.002945697780392427
8,15,0.002946186611505667
9,5,0.002916535454467389
9,6,0.0029200656456293207
9,7,0.0029179591419642337
9,8,0.002918735501466156
9,9,0.0029147359549582816
9,10,0.002917558674382614
9,11,0.002915181476043205
9,12,0.002916379598337943
9,13,0.002917757942102107
9,14,0.0029149626736216855
9,15,0.0029162303744351037
10,5,0.0029995024815961196
10,6,0.003001234116677568
10,7,0.003001808556778619
10,8,0.0030013383529064737
10,9,0.002998950353074275
10,10,0.003002087639552621
10,11,0.003000036205543684
10,12,0.0029975771241168635
10,13,0.0029993183162081334
10,14,0.0030017941114487095
10,15,0.003001437733675588
11,5,0.0029565677654331476
11,6,0.002956875350197919
11,7,0.002958435998799363
11,8,0.002957965688500666
11,9,0.0029552128954825445
11,10,0.0029554825420846135
11,11,0.0029565632608499572
11,12,0.0029528760007766167
11,13,0.0029560189472878536
11,14,0.0029567440700331003
11,15,0.0029577696450987095
12,5,0.0029679604667346114
12,6,0.002970213529015563
12,7,0.0029692093491152315
12,8,0.002969995464241517
12,9,0.0029661522029083382
12,10,0.0029688311466804606
12,11,0.002967314304859165
12,12,0.002966032300038895
12,13,0.0029669239173400214
12,14,0.0029677263598029083
12,15,0.0029692838967437032
13,5,0.0030104213528555418
13,6,0.003011981542708378
13,7,0.00301104758536768
13,8,0.003012594430244825
13,9,0.003008692184020245
13,10,0.003008329471816041
13,11,0.0030092849285444654
13,12,0.003010467131406869
13,13,0.003009503802417243
13,14,0.0030090965063063295
13,15,0.003010648963287221
14,5,0.0029443693682283376
14,6,0.0029464933202698004
14,7,0.002944882013287833
14,8,0.002946267480687272
14,9,0.002942222296718142
14,10,0.002942179932149587
14,11,0.0029435700254528212
14,12,0.002943380315937727
14,13,0.002944646179854727
14,14,0.0029419578491247816
14,15,0.0029440711607499944
15,5,0.0030350589783467536
15,6,0.0030375540531599474
15,7,0.0030375639674760984
15,8,0.003037456072313891
15,9,0.0030337746306557186
15,10,0.003036024917621656
15,11,0.003035800106700173
15,12,0.0030339690514528616
15,13,0.0030343468169810087
15,14,0.0030345143227253854
15,15,0.0030365916430999925
16,5,0.002997072761679448
16,6,0.0029982168146056457
16,7,0.0029976303390796904
16,8,0.0029994615837389115
16,9,0.0029947068090143713
16,10,0.002997316144298292
16,11,0.0029969178253188007
16,12,0.0029941088637536013
16,13,0.0029959779693880706
16,14,0.0029965293100917513
16,15,0.0029983796875526028
17,5,0.0029531705352227864
17,6,0.002955444216183046
17,7,0.002954375386101807
17,8,0.0029551400121573994
17,9,0.0029522653646403695
17,10,0.0029537945486060005
17,11,0.0029520627974373537
17,12,0.002952586871957997
17,13,0.002953510631511851
17,14,0.002953086124460508
17,15,0.0029536620214036325
18,5,0.0029812079390313328
18,6,0.002982488104072316
18,7,0.0029835982297583795
18,8,0.0029829120151343377
18,9,0.0029798188511530855
18,10,0.0029811431568879656
18,11,0.0029820178777503386
18,12,0.0029788273342255685
18,13,0.0029809631554896057
18,14,0.0029814252510546964
18,15,0.0029830195634660264
19,5,0.0029752192302650708
19,6,0.002976740230206584
19,7,0.0029767214572202823
19,8,0.0029772959002904442
19,9,0.0029745243885358247
19,10,0.00297398053789926
19,11,0.002975345602669225
19,12,0.0029735804734937624
19,13,0.00297416529363799
19,14,0.0029756853168675618
19,15,0.0029763145757240616
20,5,0.0029976133651391495
20,6,0.0030001079517936596
20,7,0.0029996453473013053
20,8,0.0030003693746117176
20,9,0.002997979626596614
20,10,0.0029988465239322443
20,11,0.0029978087009073584
20,12,0.0029969151446058704
20,13,0.002998822776063637
20,14,0.002998886459958425
20,15,0.002999465522910554
21,5,0.0030125654257762316
21,6,0.003014985834642385
21,7,0.003013655489597183
21,8,0.0030142335722652767
21,9,0.003011356864590198
21,10,0.003012422485671078
21,11,0.0030117284040898085
21,12,0.0030128870320578036
21,13,0.0030131254909345163
21,14,0.0030114353777697454
21,15,0.0030122556938574864
22,5,0.0029963264939734478
22,6,0.003000240012115504
22,7,0.00299894326041551
22,8,0.00300102258165177
22,9,0.0029945465895125337
22,10,0.0029976491802612307
22,11,0.002997232591321449
22,12,0.002994481333433044
22,13,0.0029968924326158565
22,14,0.0029951618745218257
22,15,0.0029983499215535947
23,5,0.0029955120816878844
23,6,0.0029976735248908393
23,7,0.0029965689586465313
23,8,0.0029973389220926696
23,9,0.0029934579020215657
23,10,0.002993600580272444
23,11,0.0029952278077708693
23,12,0.002994142156507103
23,13,0.0029969265524458547
23,14,0.00299337582731123
23,15,0.00299533926678282
24,5,0.003011144466811057
24,6,0.003012800415074735
24,7,0.0030120988111152795
24,8,0.003012488159548604
24,9,0.0030096900104686166
24,10,0.003011861157914003
24,11,0.003009792597061305
24,12,0.0030105515371895196
24,13,0.003009806550249006
24,14,0.0030117928702384235
24,15,0.003011618998240341
25,5,0.002944714750011827
25,6,0.0029463498602705016
25,7,0.002946045401407946
