index,pt_breadcereal,pt_meat,pt_fish,pt_milk,pt_fat,pt_fruit,pt_vegetable,pt_sugar,pt_other,pt_nonalc,total_expenditure,d_econ_active,d_n_child,d_n_adult,wt_breadcereal,wt_meat,wt_fish,wt_milk,wt_fat,wt_fruit,wt_vegetable,wt_sugar,wt_other,wt_nonalc
4957,-0.25595729280265667,1.748470598987584,1.5211179839897462,0.5897013341840905,0.47377056867864975,-0.1537372788088241,-0.17559894775537457,0.017332904567781304,0.3875329822960253,0.3595878863670918,3.867339397801506,-1.3277510391540013,0.26566277589080517,-1.5231380246946389,0.110948447140019,0.4152462616333789,0.041827878280874004,0.07895012025515,0.015476314963924,0.020913939140437002,0.11398096831538199,0.045906096413259004,0.064205793161142,0.09254418069643401
1125,-0.1645413386159001,1.5475470118291645,1.6810606188943662,0.5765979895411623,0.5686515239859028,-0.2863426162710756,-0.224822016549638,-0.14741757881831452,0.08888079921503989,0.2421197951873801,3.7774625120324514,-0.39136521329534024,-0.690007145143881,-0.13935313173516659,0.18178698089463396,0.298135224802654,0.010296304770621,0.21679441711474698,0.029401670289441004,0.046905388399497,0.082256034778629,0.040498798764443004,0.022766273881707,0.07115890630362699
3470,-0.07363991785776752,1.732538704240343,1.7557497356547194,0.6352964664602014,0.5670381085338922,-0.1337270441087655,-0.14204294764141456,0.010482697403371826,0.2535328846033079,0.31099836438406575,4.054476973223079,-0.39136521329534024,-0.690007145143881,-0.13935313173516659,0.22244384702107395,0.23952822825427103,0.034689098950655,0.09045182551383199,0.008672274737664,0.012401352874858999,0.124013528748591,0.22331107449483997,0.022894805307432004,0.021593964096783
5704,-0.03370307407051751,1.8246393984761078,1.7430145791028755,0.6994921958382188,0.7259893257342109,0.12002624426433786,-0.07939332635794606,0.07528415459933645,0.5324207377421708,0.46608436686846105,4.04103168599168,-0.39136521329534024,1.2213326969254912,-1.5231380246946389,0.195394216401512,0.277929155313351,0.074975828425771,0.13826140458820402,0.028126922738858997,0.017579326711787,0.15645600773490398,0.008789663355892999,0.021974158389733996,0.080513316339984
644,-0.20983698065476966,1.5812261208762275,1.6955468577455495,0.5478274697100557,0.6071014964201877,-0.30322310647950135,-0.24558601032670363,-0.11060699291311507,0.09686429586129185,0.25217681842111817,4.207598839999028,0.5450206125633209,2.177002617960177,-0.13935313173516659,0.271523178807947,0.16355383585088198,0.035716943224942,0.091747897909071,0.019718729072104,0.070317731974105,0.06756455093384901,0.170622814197485,0.006250465064365,0.10298385296524999
3880,-0.15585346534660574,1.753536359827908,1.5521198055018828,0.5913452333139991,0.5580618399407953,-0.1566272329280649,-0.15069208596167946,-0.0021298755150839345,0.45725653925057874,0.4106580917177608,4.471924466840729,-1.3277510391540013,0.26566277589080517,1.2444317612243057,0.164067409311625,0.302999143101971,0.071750928306198,0.12179377320765498,0.011368180519852,0.058840331333905004,0.09557269351613801,0.033761782347901004,0.016338189088831997,0.123507569265924
803,-0.32568724176829494,1.502730952295683,1.6781268057420118,0.49591964710753483,0.480732229965037,-0.43956519177878134,-0.27063446929958535,-0.09257808719563608,-0.022444155140890674,0.15190058155230207,4.3958679008623625,0.5450206125633209,2.177002617960177,-0.13935313173516659,0.13184984281575501,0.266042039080318,0.016519755902114,0.231954632312149,0.019047031991617,0.084817851198915,0.15058867040621302,0.023423534488072995,0.045675892251741,0.030080749553104
606,-0.20735621954095404,1.578065729540178,1.6791180813888171,0.5363529394653914,0.6070553109623253,-0.37060602251080205,-0.22539146227062032,-0.07996845833831452,0.07545018942284146,0.2541557337325565,3.72195149517413,2.417792264280643,-0.690007145143881,2.628216654183778,0.142338855968074,0.094570081025517,0.045350102793566,0.130245495223123,0.07909057927197999,0.128673358326279,0.158181158543959,0.09396541298826899,0.038215019954045,0.089369935905188
3972,-0.21181189704344708,1.6226580050235015,1.523360381215272,0.6411601293555542,0.44560182542790594,-0.23275024808763362,-0.16446765929587295,-0.06726362875883234,0.3129823859292025,0.337736612412982,4.509044673890708,-0.39136521329534024,2.177002617960177,-1.5231380246946389,0.28540760719986796,0.205482468211592,0.018715252931138997,0.11575934386525,0.005779710464028001,0.10210821819783099,0.017614355699895,0.084548907359498,0.031540705675125,0.13304343039577302
2630,-0.21296099858422923,1.621944494630692,1.681883844514802,0.6258173030094435,0.47958215638486057,-0.2498817952336918,-0.16408085132088673,-0.017933427209603742,0.12445837386474255,0.20322021324984987,4.678885223810372,-1.3277510391540013,-0.690007145143881,-0.13935313173516659,0.21955411054342802,0.32447747329307897,0.045471435206688,0.154621458430098,0.015002322340919999,0.018207152810033,0.098235020901068,0.029447282861124004,0.083372039015327,0.011611704598235002
